model_id_list,dev_alphabetical_id,dev_numerical_id
D09_Apple_iPhone4,D09_V_outdoorYT_still_0001,8
D18_Apple_iPhone5c,D18_V_flatYT_move_0002,16
D19_Apple_iPhone6Plus,D19_V_flatYT_move_0001,17
D07_Lenovo_P70A,D07_V_indoorYT_still_0001,6
D29_Apple_iPhone5,D29_V_outdoorYT_move_0001,27
D10_Apple_iPhone4s,D10_V_outdoorYT_move_0001,9
D13_Apple_iPad2,D13_V_outdoorYT_still_0002,11
D06_Apple_iPhone6,D06_V_outdoorYT_move_0002,5
D15_Apple_iPhone6,D15_V_indoorYT_still_0001,13
D07_Lenovo_P70A,D07_V_flatYT_panrot_0002,6
D03_Huawei_P9,D03_V_indoorYT_panrot_0002,2
D14_Apple_iPhone5c,D14_V_flatYT_move_0003,12
D30_Huawei_Honor5c,D30_V_outdoorYT_still_0001,28
D14_Apple_iPhone5c,D14_V_indoorYT_still_0002,12
D34_Apple_iPhone5,D34_V_flatYT_move_0005,32
D23_Asus_Zenfone2Laser,D23_V_flatYT_panrot_0002,21
D17_Microsoft_Lumia640LTE,D17_V_indoorYT_panrot_0001,15
D15_Apple_iPhone6,D15_V_indoorYT_still_0002,13
D09_Apple_iPhone4,D09_V_indoorYT_panrot_0001,8
D20_Apple_iPadMini,D20_V_outdoorYT_still_0001,18
D10_Apple_iPhone4s,D10_V_flatYT_move_0001,9
D14_Apple_iPhone5c,D14_V_indoorYT_still_0001,12
D33_Huawei_Ascend,D33_V_outdoorYT_move_0002,31
D15_Apple_iPhone6,D15_V_indoorYT_panrot_0001,13
D11_Samsung_GalaxyS3,D11_V_flatYT_panrot_0002,10
D27_Samsung_GalaxyS5,D27_V_indoorYT_panrot_0001,25
D32_OnePlus_A3003,D32_V_outdoorYT_move_0001,30
D09_Apple_iPhone4,D09_V_indoorYT_still_0002,8
D06_Apple_iPhone6,D06_V_outdoorYT_still_0001,5
D31_Samsung_GalaxyS4Mini,D31_V_outdoorYT_panrot_0002,29
D35_Samsung_GalaxyTabA,D35_V_outdoorYT_move_0001,33
D06_Apple_iPhone6,D06_V_outdoorYT_move_0001,5
D29_Apple_iPhone5,D29_V_flatYT_move_0001,27
D03_Huawei_P9,D03_V_flatYT_panrot_0001,2
D11_Samsung_GalaxyS3,D11_V_indoorYT_move_0002,10
D33_Huawei_Ascend,D33_V_indoorYT_still_0002,31
D18_Apple_iPhone5c,D18_V_indoorYT_panrot_0001,16
D28_Huawei_P8,D28_V_flatYT_move_0003,26
D08_Samsung_GalaxyTab3,D08_V_indoorYT_panrot_0002,7
D15_Apple_iPhone6,D15_V_outdoorYT_still_0001,13
D32_OnePlus_A3003,D32_V_outdoorYT_panrot_0001,30
D07_Lenovo_P70A,D07_V_flatYT_move_0002,6
D20_Apple_iPadMini,D20_V_outdoorYT_panrot_0002,18
D19_Apple_iPhone6Plus,D19_V_indoorYT_move_0002,17
D21_Wiko_Ridge4G,D21_V_outdoorYT_still_0001,19
D14_Apple_iPhone5c,D14_V_indoorYT_move_0001,12
D32_OnePlus_A3003,D32_V_flatYT_move_0002,30
D07_Lenovo_P70A,D07_V_flatYT_still_0002,6
D32_OnePlus_A3003,D32_V_flatYT_panrot_0001,30
D06_Apple_iPhone6,D06_V_flatYT_move_0002,5
D22_Samsung_GalaxyTrendPlus,D22_V_indoorYT_still_0002,20
D29_Apple_iPhone5,D29_V_outdoorYT_panrot_0002,27
D11_Samsung_GalaxyS3,D11_V_flatYT_still_0001,10
D33_Huawei_Ascend,D33_V_flatYT_move_0003,31
D04_LG_D290,D04_V_flatYT_still_0001,3
D33_Huawei_Ascend,D33_V_indoorYT_panrot_0002,31
D31_Samsung_GalaxyS4Mini,D31_V_indoorYT_still_0001,29
D08_Samsung_GalaxyTab3,D08_V_outdoorYT_move_0003,7
D25_OnePlus_A3000,D25_V_outdoorYT_still_0002,23
D25_OnePlus_A3000,D25_V_indoorYT_still_0001,23
D26_Samsung_GalaxyS3Mini,D26_V_indoorYT_panrot_0001,24
D24_Xiaomi_RedmiNote3,D24_V_flatYT_move_0002,22
D08_Samsung_GalaxyTab3,D08_V_outdoorYT_panrot_0004,7
D03_Huawei_P9,D03_V_indoorYT_move_0002,2
D19_Apple_iPhone6Plus,D19_V_outdoorYT_panrot_0002,17
D14_Apple_iPhone5c,D14_V_indoorYT_panrot_0001,12
D25_OnePlus_A3000,D25_V_outdoorYT_move_0002,23
D18_Apple_iPhone5c,D18_V_outdoorYT_still_0001,16
D30_Huawei_Honor5c,D30_V_indoorYT_panrot_0002,28
D02_Apple_iPhone4s,D02_V_flatYT_move_0002,1
D30_Huawei_Honor5c,D30_V_flatYT_panrot_0001,28
D20_Apple_iPadMini,D20_V_flatYT_move_0001,18
D07_Lenovo_P70A,D07_V_indoorYT_move_0002,6
D01_Samsung_GalaxyS3Mini,D01_V_flatYT_move_0002,0
D22_Samsung_GalaxyTrendPlus,D22_V_flatYT_panrot_0001,20
